"Date","Time","Time zone","Name","Type","Status","Currency","Amount","Fees","Total","Exchange Rate","Receipt ID","Balance","Transaction ID","Item Title"
"12/01/2025","15:41:41","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-29.99","0.00","-29.99",,"","-29.99","77173592JU721260E",""
"12/01/2025","15:41:41","AEST","","General Credit Card Deposit","Completed","AUD","29.99","0.00","29.99",,"","0.00","6RB08333KB703431A",""
"13/01/2025","01:25:29","AEST","ALDImobile","Pre-approved Payment Bill User Payment","Completed","AUD","-28.00","0.00","-28.00",,"","-28.00","7Y169138J9866691T",""
"13/01/2025","01:25:29","AEST","","General Credit Card Deposit","Completed","AUD","28.00","0.00","28.00",,"","0.00","6DE90857YT604843D",""
"17/01/2025","11:35:12","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-4.49","0.00","-4.49",,"","-4.49","84U63533GW017654D",""
"17/01/2025","11:35:12","AEST","","General Credit Card Deposit","Completed","AUD","4.49","0.00","4.49",,"","0.00","5S268727WP0031251",""
"17/01/2025","12:19:39","AEST","","General Credit Card Deposit","Refused","AUD","12.99","0.00","12.99",,"","0.00","2E1254095W575060B",""
"18/01/2025","12:20:37","AEST","","General Credit Card Deposit","Refused","AUD","12.99","0.00","12.99",,"","0.00","40Y426743U5266127",""
"19/01/2025","12:19:44","AEST","","General Credit Card Deposit","Refused","AUD","12.99","0.00","12.99",,"","0.00","8XL0185688077972D",""
"20/01/2025","12:19:53","AEST","TIDAL Music AS","Pre-approved Payment Bill User Payment","Completed","AUD","-12.99","0.00","-12.99",,"","-12.99","7UN35610G02021246",""
"20/01/2025","12:19:53","AEST","","General Credit Card Deposit","Completed","AUD","12.99","0.00","12.99",,"","0.00","4P7224964L3294008",""
"21/01/2025","17:38:39","AEST","Awes.me Inc.","Order","Voided","AUD","","","",,"","0.00","O-3SR13859CW557325A",""
"21/01/2025","17:38:43","AEST","Awes.me Inc.","Order","Completed","AUD","","","",,"","0.00","O-95F55601V2602581L",""
"30/01/2025","11:14:13","AEST","ALIPAY (AUSTRALIA) PTY LTD","Express Checkout Payment","Completed","AUD","-76.98","0.00","-76.98",,"","-76.98","4PL72651S87972311",""
"30/01/2025","11:14:13","AEST","","General Credit Card Deposit","Completed","AUD","76.98","0.00","76.98",,"","0.00","3U7508336E3789537",""
"12/02/2025","07:42:09","AEST","Apple Services","Pre-approved Payment Bill User Payment","Completed","AUD","-29.99","0.00","-29.99",,"","-29.99","9CK422786C9865250",""
"12/02/2025","07:42:09","AEST","","General Credit Card Deposit","Completed","AUD","29.99","0.00","29.99",,"","0.00","1K219275N91022437",""
